id,sleep_target,sleep_value,steps,calories_target,calories_value,createdAt,updatedAt,intensity,min_heart_rate,max_heart_rate,user/id,user/email,user/full_name,user/disable_survey
156,480,,,2048.0,1169.0,2023-06-15 00:00:00.603000+00:00,2023-06-15 23:45:00.519000+00:00,,,,,,,
157,480,,,2048.0,1169.0,2023-06-15 00:00:01.276000+00:00,2023-06-15 23:45:01.258000+00:00,,,,,,,
158,480,,,2048.0,1169.0,2023-06-15 00:00:01.732000+00:00,2023-06-15 23:45:01.688000+00:00,,,,,,,
159,480,,,2048.0,1169.0,2023-06-15 00:00:02.244000+00:00,2023-06-15 23:45:02.168000+00:00,,,,,,,
160,480,,,2048.0,1209.0,2023-06-16 00:00:00.426000+00:00,2023-06-16 23:45:00.470000+00:00,,,,,,,
161,480,,,2048.0,1209.0,2023-06-16 00:00:01.060000+00:00,2023-06-16 23:45:01.153000+00:00,,,,,,,
162,480,,,2048.0,1209.0,2023-06-16 00:00:01.537000+00:00,2023-06-16 23:45:01.684000+00:00,,,,,,,
163,480,,,2048.0,1209.0,2023-06-16 00:00:02.084000+00:00,2023-06-16 23:45:02.150000+00:00,,,,,,,
164,480,,,2048.0,1218.0,2023-06-17 00:00:00.455000+00:00,2023-06-17 23:45:00.476000+00:00,20.0,,,,,,
165,480,,,2048.0,1218.0,2023-06-17 00:00:01.085000+00:00,2023-06-17 23:45:01.213000+00:00,20.0,,,,,,
166,480,,,2048.0,1218.0,2023-06-17 00:00:01.589000+00:00,2023-06-17 23:45:01.726000+00:00,20.0,,,,,,
167,480,,,2048.0,1218.0,2023-06-17 00:00:02.027000+00:00,2023-06-17 23:45:02.188000+00:00,20.0,,,,,,
168,480,,,2048.0,1169.0,2023-06-18 00:00:00.451000+00:00,2023-06-18 23:45:00.469000+00:00,,,,,,,
169,480,,,2048.0,1169.0,2023-06-18 00:00:01.165000+00:00,2023-06-18 23:45:01.103000+00:00,,,,,,,
