ActivityHour,Id,Calories,TotalIntensity,AverageIntensity,StepTotal,hour,dayofyear,dayofweek,dayofmonth,isweekend
2016-03-18 21:00:00+00:00,2347167796,226,75,1.25,3431,21,78,4,18,False
2016-03-18 22:00:00+00:00,2347167796,173,62,1.033333,2305,22,78,4,18,False
2016-03-18 23:00:00+00:00,2347167796,60,2,0.033333,20,23,78,4,18,False
2016-03-19 00:00:00+00:00,2347167796,57,0,0.0,0,0,79,5,19,True
2016-03-19 01:00:00+00:00,2347167796,57,0,0.0,0,1,79,5,19,True
2016-03-19 02:00:00+00:00,2347167796,57,0,0.0,0,2,79,5,19,True
2016-03-19 03:00:00+00:00,2347167796,57,0,0.0,0,3,79,5,19,True
2016-03-19 04:00:00+00:00,2347167796,57,0,0.0,0,4,79,5,19,True
2016-03-19 05:00:00+00:00,2347167796,59,2,0.033333,14,5,79,5,19,True
2016-03-19 06:00:00+00:00,2347167796,58,1,0.016667,9,6,79,5,19,True
2016-03-19 07:00:00+00:00,2347167796,59,1,0.016667,14,7,79,5,19,True
2016-03-19 08:00:00+00:00,2347167796,83,14,0.233333,223,8,79,5,19,True
2016-03-19 09:00:00+00:00,2347167796,230,87,1.45,2995,9,79,5,19,True
2016-03-19 10:00:00+00:00,2347167796,104,23,0.383333,887,10,79,5,19,True
2016-03-19 11:00:00+00:00,2347167796,92,19,0.316667,486,11,79,5,19,True
2016-03-19 12:00:00+00:00,2347167796,122,35,0.583333,854,12,79,5,19,True
2016-03-19 13:00:00+00:00,2347167796,69,6,0.1,139,13,79,5,19,True
2016-03-19 14:00:00+00:00,2347167796,58,0,0.0,0,14,79,5,19,True
2016-03-19 15:00:00+00:00,2347167796,76,9,0.15,165,15,79,5,19,True
2016-03-19 16:00:00+00:00,2347167796,94,22,0.366667,380,16,79,5,19,True
2016-03-19 17:00:00+00:00,2347167796,68,7,0.116667,98,17,79,5,19,True
2016-03-19 18:00:00+00:00,2347167796,74,9,0.15,150,18,79,5,19,True
2016-03-19 19:00:00+00:00,2347167796,114,24,0.4,907,19,79,5,19,True
2016-03-19 20:00:00+00:00,2347167796,109,20,0.333333,869,20,79,5,19,True
2016-03-19 21:00:00+00:00,2347167796,166,51,0.85,1872,21,79,5,19,True
